model,service_level,total_inventory_units,total_inventory_dollars,weighted_fill_rate,total_units_lost,total_stockout_days,total_orders
ets,0.8,44332.76291084416,111532.21781486824,0.9045190567182783,8048.470632989457,1871,2119
ets,0.85,45228.880733955324,113946.3000125248,0.9112705936677806,7479.356577368106,1705,2190
ets,0.9,46373.16024138414,117014.95961582659,0.9179889661812066,6913.038084721377,1546,2237
ets,0.93,47303.9092948745,119465.5152043651,0.9231532389956989,6477.720872096553,1414,2265
ets,0.95,48130.177704922535,121648.36568183775,0.9273215126124783,6126.360415843754,1314,2314
ets,0.97,49312.417096577075,124810.49978758098,0.931361107970903,5785.846764700706,1199,2336
ets,0.98,50198.1906450829,127185.62505800201,0.9344016531778856,5529.547047023321,1127,2372
ets,0.99,51606.058953924614,130929.30390753098,0.9389658119715252,5144.815845672262,1022,2417
naive,0.8,45965.82331506336,115879.1683668076,0.913630573998798,7280.424395345337,1639,2176
naive,0.85,47274.705434748495,119377.82630961288,0.9205466632777589,6697.439565664604,1483,2223
naive,0.9,49035.56136129478,124011.4254611673,0.9279182831772618,6076.056237855888,1286,2271
naive,0.93,50440.379968839974,127727.33183603694,0.9320861337630733,5724.731440575509,1176,2317
naive,0.95,51652.066383893645,130942.02692543544,0.9351453965085279,5466.85394671015,1104,2349
naive,0.97,53386.04245689788,135567.38144981925,0.9392423248051053,5121.50747287845,1019,2369
naive,0.98,54644.18766579584,138927.601118601,0.9421504594044589,4876.369174960549,955,2397
naive,0.99,56675.95453349441,144326.33841633564,0.9464096984582211,4517.3408781627,878,2422
